ID	Cusps	OPC
898	1	9.000000
899	0	8.500000
900	36	389.250000
901	0	12.000000
902	0	10.500000
903	0	9.250000
904	0	12.000000
905	1	9.000000
906	0	9.000000
907	0	9.750000
908	1	10.500000
909	1	10.500000
910	0	10.250000
911	1	10.500000
912	0	7.750000
913	0	3.000000
914	0	5.500000
915	1	10.500000
916	0	9.250000
917	0	21.500000
918	0	11.250000
919	0	11.500000
920	1	10.500000
921	0	9.000000
922	0	11.750000
923	0	8.750000
924	1	10.500000
925	1	9.500000
926	1	10.500000
927	1	10.500000
928	1	15.250000
929	0	8.500000
930	8	106.750000
931	0	10.750000
932	1	20.250000
933	1	10.250000
934	0	2.500000
935	0	11.875000
936	0	12.750000
937	1	36.750000
938	0	8.500000
939	1	29.250000
940	1	9.500000
941	0	10.500000
942	0	2.250000
943	1	8.500000
944	0	9.500000
945	1	10.500000
946	0	11.750000
947	0	10.500000
948	1	10.500000
949	1	15.625000
950	0	12.000000
951	1	10.500000
952	1	8.500000
953	1	19.000000
954	1	11.250000
955	1	10.250000
956	4	92.375000
957	1	27.000000
958	1	11.750000
959	1	18.750000
960	0	5.500000
961	19	167.500000
962	0	11.750000
963	0	9.250000
964	1	8.500000
965	0	8.500000
966	3	108.625000
967	0	9.375000
968	1	10.500000
969	0	12.000000
970	1	62.125000
971	1	10.500000
972	1	10.500000
973	1	17.500000
974	1	10.500000
975	0	9.250000
976	0	9.500000
977	1	9.750000
978	1	36.000000
979	1	20.750000
980	1	12.250000
981	2	78.375000
982	2	59.125000
983	0	10.500000
984	21	260.125000
985	1	11.500000
986	1	9.500000
987	0	11.000000
988	1	9.250000
989	1	9.500000
990	0	12.000000
991	1	10.500000
992	0	8.250000
993	1	9.250000
994	1	10.500000
995	1	8.500000
996	0	11.750000
997	0	11.750000
998	1	9.500000
999	0	2.250000
1000	0	3.250000
1001	4	59.625000
1002	0	4.500000
1003	1	11.750000
1004	0	8.500000
1005	0	7.250000
1006	0	9.250000
1007	1	9.750000
1008	0	12.000000
1009	3	91.500000
1010	0	3.750000
1011	1	10.500000
1012	9	164.000000
1013	0	5.500000
1014	1	10.500000
1015	1	40.750000
1016	1	8.750000
1017	1	8.500000
1018	0	12.000000
1019	0	9.750000
1020	1	14.625000
1021	1	8.500000
1022	14	180.625000
1023	0	2.250000
1024	0	4.500000
1025	1	11.000000
1026	1	8.625000
1027	0	9.250000
1028	0	9.500000
1029	0	10.000000
1030	0	11.750000
1031	1	70.750000
1032	0	12.000000
1033	0	9.500000
1034	0	8.375000
1035	1	8.250000
1036	2	39.625000
1037	1	10.500000
1038	1	23.000000
1039	1	9.500000
1040	1	8.500000
1041	1	9.500000
1042	1	11.500000
1043	0	7.750000
1044	0	12.000000
1045	0	10.375000
1046	1	9.500000
1047	1	15.250000
1048	2	63.000000
1049	1	2.500000
1050	0	2.250000
1051	1	8.250000
1052	1	10.000000
1053	1	9.250000
1054	0	11.000000
1055	0	2.250000
1056	1	11.500000
1057	1	13.500000
1058	1	7.750000
1059	1	19.250000
1060	1	8.250000
1061	1	10.500000
1062	5	704.125000
1063	1	19.500000
1064	0	5.500000
1065	0	2.750000
1066	0	10.500000
1067	1	12.250000
1068	0	11.625000
1069	1	8.500000
1070	0	9.000000
1071	1	38.625000
1072	1	22.750000
1073	1	9.500000
1074	1	20.500000
1075	1	10.250000
1076	0	10.000000
1077	1	2.250000
1078	0	12.000000
1079	1	19.250000
1080	1	14.500000
1081	1	2.250000
1082	1	40.625000
1083	1	25.500000
1084	43	363.625000
1085	1	9.375000
1086	1	17.250000
1087	1	8.500000
1088	1	29.250000
1089	0	8.500000
1090	1	11.000000
1091	37	467.375000
1092	0	5.500000
1093	1	11.750000
1094	0	8.250000
1095	0	11.375000
1096	0	2.250000
1097	1	8.250000
1098	1	10.250000
1099	1	16.750000
1100	0	2.250000
1101	1	11.625000
1102	1	11.500000
1103	0	11.750000
1104	0	2.250000
1105	1	10.500000
1106	0	10.500000
1107	0	9.125000
1108	1	8.500000
1109	0	2.500000
1110	0	8.500000
1111	0	10.500000
1112	1	27.500000
1113	38	426.000000
1114	1	9.500000
1115	0	12.000000
1116	0	11.500000
1117	0	12.000000
1118	0	9.500000
1119	0	8.500000
1120	1	8.500000
1121	1	10.000000
1122	0	7.250000
1123	1	9.500000
1124	3	26.750000
1125	1	9.500000
1126	0	11.500000
1127	0	2.250000
1128	1	9.000000
1129	1	40.750000
1130	0	8.500000
1131	1	65.500000
1132	2	29.625000
1133	0	9.500000
1134	0	4.500000
1135	1	12.000000
1136	1	8.500000
1137	1	10.500000
1138	18	271.375000
1139	1	24.250000
1140	2	21.000000
1141	1	10.375000
1142	1	8.500000
1143	1	9.500000
1144	7	47.250000
1145	1	10.500000
1146	0	11.750000
1147	1	10.500000
1148	7	87.000000
1149	1	8.750000
1150	0	10.250000
1151	1	8.750000
1152	20	266.750000
1153	0	9.375000
1154	1	10.000000
1155	1	26.625000
1156	1	8.500000
1157	1	16.500000
1158	0	11.625000
1159	1	10.375000
1160	15	152.500000
1161	1	18.000000
1162	28	359.625000
1163	1	8.500000
1164	1	10.250000
1165	1	8.500000
1166	0	10.500000
1167	1	10.000000
1168	1	8.500000
1169	1	12.000000
1170	0	10.500000
1171	1	8.375000
1172	0	10.375000
1173	0	12.000000
1174	1	10.000000
1175	1	10.500000
1176	0	8.500000
1177	1	13.500000
1178	4	116.375000
1179	1	11.250000
1180	26	259.125000
1181	6	230.625000
1182	0	10.375000
1183	0	4.500000
1184	0	4.250000
1185	16	228.125000
1186	1	52.500000
1187	3	71.250000
1188	0	3.750000
1189	1	24.125000
1190	1	10.750000
1191	1	10.500000
1192	1	9.500000
1193	1	9.500000
1194	1	24.250000
1195	0	7.750000
1196	1	57.000000
1197	0	11.750000
1198	0	9.250000
1199	0	12.000000
1200	1	48.500000
1201	1	8.500000
1202	1	11.250000
1203	1	7.875000
1204	0	10.000000
1205	1	24.500000
1206	1	10.000000
1207	0	4.500000
1208	0	8.250000
1209	1	9.250000
1210	0	11.500000
1211	1	9.500000
1212	0	9.500000
1213	1	10.500000
1214	0	11.500000
1215	0	8.750000
1216	1	18.250000
1217	1	58.250000
1218	1	10.500000
1219	0	9.500000
1221	1	8.500000
1222	1	14.125000
1223	0	9.500000
1224	1	8.000000
1225	0	12.000000
1226	1	10.500000
1227	56	561.125000
1228	1	9.500000
1229	0	10.250000
1230	1	10.500000
1231	1	11.500000
1232	0	4.500000
1233	1	11.000000
1234	0	2.500000
1235	1	10.500000
1236	0	8.500000
1237	1	10.500000
1238	0	11.500000
1239	0	2.250000
1240	1	20.875000
1241	0	4.500000
1242	1	10.250000
1243	0	8.250000
1244	9	212.625000
1245	0	11.500000
1246	0	10.250000
1247	0	9.500000
1248	0	4.500000
1249	1	10.500000
1250	1	10.250000
1251	0	11.375000
1252	1	11.000000
1253	1	9.000000
1254	1	22.000000
