Complexity,Freq,Status
8.1491,31989.0,Rand
9.6308,370794.0,Rand
10.3716,59306.0,Rand
8.1491,162525.0,Rand
10.3716,256753.0,Rand
8.1491,137007.0,Rand
5.9266,167207.0,Rand
8.1491,619214.0,Rand
9.6308,142632.0,Rand
7.4083,144757.0,Rand
5.9266,605812.0,Rand
8.1491,474032.0,Rand
8.89,5994.0,Rand
8.1491,181399.0,Rand
7.4083,6561.0,Rand
8.1491,188231.0,Rand
9.6308,526895.0,Rand
8.1491,40150.0,Rand
8.1491,73700.0,Rand
9.6308,55085.0,Rand
7.4083,360187.0,Rand
8.1491,437861.0,Rand
8.1491,17716.0,Rand
8.1491,101953.0,Rand
5.9266,172000.0,Rand
8.1491,161525.0,Rand
7.4083,156185.0,Rand
8.89,152126.0,Rand
5.9266,224536.0,Rand
8.89,86777.0,Rand
5.9266,641893.0,Rand
8.1491,110143.0,Rand
8.1491,37455.0,Rand
9.6308,3251.0,Rand
7.4083,444579.0,Rand
8.1491,263625.0,Rand
8.1491,321686.0,Rand
10.3716,263963.0,Rand
8.1491,88241.0,Rand
8.89,229729.0,Rand
7.4083,386814.0,Rand
8.1491,354806.0,Rand
5.9266,1444055.0,Rand
8.1491,66925.0,Rand
7.4083,111830.0,Rand
5.9266,1288842.0,Rand
8.1491,259320.0,Rand
8.1491,161242.0,Rand
6.6675,71274.0,Rand
7.4083,302257.0,Rand
8.89,451641.0,Rand
8.1491,313511.0,Rand
9.6308,170964.0,Rand
8.1491,127115.0,Rand
7.4083,265569.0,Rand
8.1491,154428.0,Rand
8.89,104444.0,Rand
8.89,736716.0,Rand
8.89,316693.0,Rand
7.4083,96507.0,Rand
8.1491,316154.0,Rand
8.1491,79660.0,Rand
8.89,249239.0,Rand
7.4083,70734.0,Rand
6.6675,94186.0,Rand
10.3716,17279.0,Rand
7.4083,64025.0,Rand
7.4083,38385.0,Rand
7.4083,161217.0,Rand
8.1491,96046.0,Rand
8.1491,10606.0,Rand
8.89,237374.0,Rand
5.9266,201776.0,Rand
7.4083,126193.0,Rand
8.1491,114720.0,Rand
9.6308,490033.0,Rand
8.89,12972.0,Rand
9.6308,225816.0,Rand
9.6308,13567.0,Rand
9.6308,112210.0,Rand
7.4083,48956.0,Rand
5.9266,1614238.0,Rand
7.4083,89238.0,Rand
7.4083,188083.0,Rand
8.1491,28844.0,Rand
5.9266,339232.0,Rand
9.6308,4722.0,Rand
7.4083,85084.0,Rand
8.1491,204403.0,Rand
7.4083,119387.0,Rand
7.4083,345422.0,Rand
8.89,202607.0,Rand
8.89,221917.0,Rand
7.4083,101919.0,Rand
5.9266,262089.0,Rand
9.6308,29140.0,Rand
6.6675,56790.0,Rand
8.1491,636215.0,Rand
8.89,281091.0,Rand
8.1491,248860.0,Rand
10.3716,3128.0,Rand
7.4083,77298.0,Rand
8.1491,200178.0,Rand
8.1491,177900.0,Rand
9.6308,3695.0,Rand
