ID	Cusps	OPC
288	1	10.500000
289	1	10.500000
290	0	2.250000
291	1	10.250000
292	1	10.500000
293	1	8.500000
294	0	11.000000
295	1	8.375000
296	0	14.250000
297	1	10.000000
298	1	9.750000
299	0	8.500000
300	1	10.250000
301	0	11.875000
302	0	10.500000
303	1	9.500000
304	1	9.500000
305	0	4.250000
306	0	10.000000
307	1	13.750000
308	1	14.750000
309	0	9.000000
310	1	11.750000
311	1	10.500000
312	1	10.500000
313	1	9.250000
314	10	119.125000
315	1	12.000000
316	0	9.500000
317	1	9.500000
318	1	12.500000
319	0	9.250000
320	1	9.500000
321	0	2.250000
322	1	8.500000
323	1	11.500000
324	5	124.250000
325	0	11.750000
326	0	8.375000
327	0	11.500000
328	0	8.500000
329	0	10.500000
330	0	12.000000
331	0	5.500000
332	1	8.750000
333	0	8.250000
334	1	18.375000
335	2	19.000000
336	1	10.500000
337	1	20.750000
338	1	10.000000
339	0	4.500000
340	1	10.250000
341	0	8.500000
342	0	12.000000
343	1	11.000000
344	0	9.500000
345	1	22.250000
346	0	8.500000
347	0	9.500000
348	0	12.000000
349	1	18.000000
350	0	36.625000
351	0	11.750000
352	0	4.500000
353	0	11.500000
354	0	10.500000
355	1	11.000000
356	1	10.500000
357	0	8.500000
358	0	9.000000
359	1	11.000000
360	0	9.500000
361	0	10.000000
362	1	9.000000
363	20	265.750000
364	0	4.000000
365	0	11.000000
366	1	12.375000
367	1	60.625000
368	0	8.250000
369	0	11.250000
370	1	12.500000
371	6	134.375000
372	1	10.500000
373	0	8.500000
374	1	8.500000
375	19	248.750000
376	1	10.500000
377	0	8.375000
378	1	14.500000
379	1	10.500000
380	0	10.500000
381	0	8.500000
382	0	2.250000
383	1	8.250000
384	7	122.500000
385	1	10.500000
386	0	5.000000
387	0	9.250000
389	0	7.250000
390	1	20.500000
391	0	8.500000
392	0	8.750000
393	0	14.250000
394	0	9.500000
395	1	23.750000
396	1	15.750000
397	0	10.500000
398	1	9.000000
399	7	89.500000
400	0	9.000000
401	0	10.000000
402	21	100.125000
403	0	2.250000
404	1	10.500000
405	0	5.500000
406	1	26.250000
407	1	9.500000
408	0	8.375000
409	0	4.500000
410	0	8.500000
411	0	3.750000
412	1	20.500000
413	2	75.000000
414	0	5.500000
415	0	10.000000
416	1	17.750000
417	4	112.000000
418	0	12.000000
419	0	9.500000
420	0	8.500000
421	1	12.000000
422	1	18.000000
423	1	9.500000
424	1	66.000000
425	1	14.250000
426	1	22.750000
427	1	9.500000
428	1	8.500000
429	1	22.500000
430	2	39.750000
431	1	8.250000
432	0	10.000000
433	0	9.500000
434	1	8.500000
435	0	12.000000
436	1	24.625000
437	0	12.000000
438	1	27.750000
439	1	17.000000
440	1	10.500000
441	1	30.250000
442	1	19.500000
443	1	10.250000
444	5	83.500000
445	1	15.750000
446	1	48.000000
447	1	8.250000
448	0	8.000000
449	1	10.500000
450	0	11.750000
451	1	24.625000
452	0	10.000000
453	0	9.500000
454	0	11.250000
455	1	11.500000
456	0	9.500000
457	0	8.500000
458	0	9.500000
459	1	10.000000
460	11	94.750000
461	1	37.500000
462	0	8.375000
463	0	2.250000
464	0	11.750000
465	0	9.500000
466	1	8.500000
467	1	12.000000
468	1	10.500000
469	0	57.125000
470	0	5.500000
471	0	9.500000
472	1	10.500000
473	1	12.000000
474	1	9.250000
475	6	62.625000
476	1	50.000000
477	1	9.750000
478	0	5.500000
479	1	10.000000
480	0	11.375000
481	0	5.500000
482	1	17.375000
483	0	4.500000
484	1	10.750000
485	0	2.250000
486	0	9.500000
487	1	9.500000
488	0	7.750000
489	1	11.500000
490	0	11.875000
491	1	9.000000
492	0	11.500000
493	0	3.250000
494	1	9.750000
495	1	14.250000
496	1	10.500000
497	16	294.750000
499	0	3.875000
500	1	26.250000
501	1	19.500000
502	1	13.750000
503	1	14.500000
504	1	9.500000
505	0	9.500000
506	0	56.000000
507	0	11.750000
508	1	15.750000
509	0	9.500000
510	1	15.250000
511	0	3.750000
512	0	9.500000
513	1	21.750000
514	1	12.750000
515	0	9.000000
516	1	22.750000
517	1	26.125000
518	1	10.250000
519	25	149.875000
520	0	5.500000
521	1	3.500000
522	0	8.500000
523	0	11.250000
524	0	2.750000
525	1	11.000000
526	0	8.125000
527	1	10.250000
528	1	15.250000
529	0	11.750000
530	0	10.500000
531	0	11.750000
532	7	80.375000
533	31	265.000000
534	1	10.000000
535	1	8.500000
536	0	12.000000
537	1	10.250000
538	1	9.750000
539	1	15.000000
540	1	8.500000
541	0	12.000000
542	1	11.250000
543	10	90.625000
544	1	62.250000
545	1	8.250000
546	1	19.250000
547	0	12.000000
548	1	10.000000
549	7	46.375000
550	0	10.500000
551	0	9.250000
552	1	10.500000
553	1	10.000000
554	0	8.500000
555	0	12.000000
556	1	11.750000
557	0	11.625000
558	0	9.250000
559	1	8.500000
560	0	10.500000
561	0	8.500000
562	1	9.250000
563	0	12.000000
564	0	29.250000
565	0	8.500000
566	0	8.375000
567	1	11.000000
568	2	31.250000
569	0	8.250000
570	0	2.250000
571	0	9.125000
572	1	10.250000
573	0	8.500000
574	1	9.500000
575	0	11.500000
576	1	11.000000
577	1	161.250000
578	0	9.750000
579	1	12.250000
580	0	10.750000
581	0	11.500000
582	1	9.000000
583	1	9.750000
584	1	20.250000
585	1	10.500000
586	1	10.250000
587	18	259.250000
588	0	11.750000
589	0	29.125000
590	1	10.000000
591	0	8.250000
592	1	9.500000
593	0	10.500000
594	0	8.500000
595	0	9.250000
596	0	3.500000
597	0	11.750000
598	1	10.750000
599	0	12.000000
600	0	12.000000
601	1	11.500000
602	1	9.750000
603	0	10.250000
604	1	10.000000
605	0	8.500000
606	0	8.000000
607	0	10.500000
608	1	18.500000
609	1	10.375000
610	0	5.750000
611	0	3.750000
612	1	10.625000
613	1	15.375000
614	0	12.000000
615	0	12.000000
616	1	13.500000
617	1	10.500000
618	0	11.000000
619	1	24.625000
620	1	9.750000
621	0	7.250000
622	0	11.875000
623	1	14.250000
624	1	9.000000
625	0	11.000000
626	0	9.500000
627	0	5.375000
628	0	8.500000
629	15	103.250000
630	0	9.500000
631	0	8.500000
632	1	10.500000
633	1	24.750000
634	1	10.500000
635	0	8.375000
636	1	14.750000
637	0	11.250000
638	1	10.250000
639	1	10.500000
640	1	9.500000
641	1	9.250000
642	0	8.125000
643	12	216.625000
644	1	9.250000
645	1	21.750000
646	1	10.750000
647	0	9.500000
648	1	10.500000
649	77	973.125000
650	5	111.000000
651	37	468.250000
652	0	5.500000
653	1	10.500000
654	0	2.250000
655	1	10.000000
656	0	9.500000
657	1	10.000000
658	14	92.625000
659	1	10.250000
660	0	12.000000
661	0	5.500000
662	1	9.500000
663	1	14.250000
665	1	17.750000
666	0	10.500000
667	1	21.750000
668	19	176.750000
669	0	9.000000
670	1	16.125000
671	1	28.250000
672	0	2.250000
673	1	31.875000
